language,script,phonemes,vowels,stress_pattern,word_order,sentence_example,case,gender,rhythm
English,Latin,"/p/, /b/, /t/, /d/, /k/","/iː/, /ɪ/, /e/, /æ/, /ɑː/",Variable lexical stress,SVO,The quick brown fox jumps over the lazy dog.,"Minimal: pronouns only (I/me, he/him)",Natural gender (pronouns),Stress-timed
Mandarin Chinese,Han (Simplified/Traditional),"/p/, /t/, /k/, /ts/, /tsʰ/","/a/, /o/, /e/, /i/, /u/",Tonal (no lexical stress),SVO,我在学习中文。 (I am studying Chinese.),No case,No grammatical gender,Syllable-timed
Hindi,Devanagari,"/p/, /b/, /t/, /d/, /k/","/ə/, /aː/, /ɪ/, /iː/, /ʊ/",Penultimate syllable typically,SOV,मैं हिंदी सीख रहा हूँ। (I am learning Hindi.),"Direct, oblique, vocative","Masculine, feminine",Mora-timed
Spanish,Latin,"/p/, /b/, /t/, /d/, /k/","/a/, /e/, /i/, /o/, /u/","Penultimate for vowel/n/s endings, final otherwise","SVO (flexible, pro-drop)",El gato negro duerme en el sofá.,No case (lost from Latin),"Masculine, feminine",Syllable-timed
French,Latin,"/p/, /b/, /t/, /d/, /k/","/i/, /e/, /ɛ/, /a/, /ɔ/",Final syllable stress (phrase-final),SVO (relatively fixed),Le chat noir dort sur le canapé.,No case,"Masculine, feminine",Syllable-timed
Arabic,Arabic,"/b/, /t/, /d/, /k/, /q/","/a/, /i/, /u/, /aː/, /iː/","Varies by dialect, typically penultimate","VSO (classical), SVO (modern dialects)",الولد يقرأ الكتاب. (The boy reads the book.),"Nominative, accusative, genitive (classical)","Masculine, feminine",Mora-timed
Bengali,Bengali,"/p/, /b/, /t/, /d/, /k/","/i/, /e/, /æ/, /a/, /ɔ/",Initial syllable stress typically,SOV,আমি বাংলা শিখছি। (I am learning Bengali.),"Nominative, objective, genitive, locative",No grammatical gender,Stress-timed tendency
Portuguese,Latin,"/p/, /b/, /t/, /d/, /k/","/a/, /e/, /ɛ/, /i/, /o/",Penultimate; accent marks for irregular,SVO (flexible),O gato preto dorme no sofá.,No case,"Masculine, feminine",Syllable-timed (BR) / stress-timed (EU)
Russian,Cyrillic,"/p/, /b/, /t/, /d/, /k/","/a/, /e/, /i/, /o/, /u/",Unpredictable lexical stress,SVO (flexible due to case),Чёрный кот спит на диване.,"Nominative, genitive, dative, accusative, instrumental, prepositional","Masculine, feminine, neuter",Syllable-timed tendency
Urdu,Nastaliq (Perso-Arabic),"/p/, /b/, /t/, /d/, /k/","/ə/, /aː/, /ɪ/, /iː/, /ʊ/",Penultimate typically,SOV,میں اردو سیکھ رہا ہوں۔ (I am learning Urdu.),"Direct, oblique, vocative","Masculine, feminine",Mora-timed
Indonesian,Latin,"/p/, /b/, /t/, /d/, /k/","/i/, /e/, /ə/, /a/, /o/",Penultimate typically,SVO,Saya sedang belajar bahasa Indonesia.,No case,No grammatical gender,Syllable-timed
