drop_prob,K,theta,n_persistent,frac_persistent,theory_p_survival,p_star
0.0,3,2,12,1.000000,1.000000,0.1835
0.0,3,3,12,1.000000,1.000000,0.0000
0.0,5,2,12,1.000000,1.000000,0.3675
0.0,5,3,12,1.000000,1.000000,0.2254
0.0,7,2,12,1.000000,1.000000,0.4655
0.0,7,3,12,1.000000,1.000000,0.3453
0.05,3,2,12,1.000000,0.973335,0.1835
0.05,3,3,7,0.583333,0.735092,0.0000
0.05,5,2,12,1.000000,0.999583,0.3675
0.05,5,3,12,1.000000,0.992034,0.2254
0.05,7,2,12,1.000000,0.999994,0.4655
0.05,7,3,12,1.000000,0.999844,0.3453
0.1,3,2,12,1.000000,0.905418,0.1835
0.1,3,3,5,0.416667,0.531441,0.0000
0.1,5,2,12,1.000000,0.994474,0.3675
0.1,5,3,12,1.000000,0.949472,0.2254
0.1,7,2,12,1.000000,0.999724,0.4655
0.1,7,3,12,1.000000,0.996313,0.3453
0.15,3,2,12,1.000000,0.811720,0.1835
0.15,3,3,3,0.250000,0.377150,0.0000
0.15,5,2,12,1.000000,0.976932,0.3675
0.15,5,3,12,1.000000,0.865384,0.2254
0.15,7,2,12,1.000000,0.997564,0.4655
0.15,7,3,12,1.000000,0.979525,0.3453
0.2,3,2,10,0.833333,0.704512,0.1835
0.2,3,3,2,0.166667,0.262144,0.0000
0.2,5,2,12,1.000000,0.940206,0.3675
0.2,5,3,10,0.833333,0.749103,0.2254
0.2,7,2,12,1.000000,0.989464,0.4655
0.2,7,3,12,1.000000,0.937454,0.3453
